epoch	loss	acc	val_loss	val_acc
0	1.455725	0.493543	0.916730	0.684100
1	0.985985	0.665564	0.764079	0.731600
2	0.852804	0.711582	0.732507	0.749100
3	0.768370	0.739994	0.666841	0.773200
4	0.714119	0.758803	0.597081	0.790500
5	0.667481	0.775565	0.608732	0.793100
6	0.627573	0.786493	0.577566	0.799300
7	0.593068	0.799888	0.546075	0.813100
8	0.569466	0.808009	0.536316	0.816000
9	0.538422	0.818134	0.509762	0.823800
10	0.521959	0.824350	0.553480	0.814500
11	0.496416	0.832812	0.524971	0.824200
12	0.472581	0.839750	0.485291	0.834100
13	0.457055	0.846888	0.539060	0.818100
14	0.437380	0.850758	0.532813	0.826000
15	0.423265	0.858017	0.465394	0.843000
16	0.410493	0.859420	0.475307	0.841100
17	0.389359	0.867020	0.476346	0.838500
18	0.374493	0.872293	0.482415	0.838000
19	0.362842	0.877145	0.487775	0.834600
20	0.352425	0.879732	0.504327	0.834300
21	0.337149	0.886931	0.462187	0.846800
22	0.324154	0.889778	0.456077	0.852100
23	0.314353	0.893066	0.451448	0.851900
24	0.302627	0.897197	0.435802	0.855900
25	0.289138	0.902571	0.475584	0.849800
26	0.282220	0.904957	0.435775	0.858600
27	0.269853	0.908025	0.453015	0.854400
28	0.256067	0.912800	0.430634	0.861800
29	0.248226	0.915763	0.469701	0.853900
30	0.241234	0.918852	0.467050	0.852900
31	0.228647	0.923223	0.434532	0.862500
32	0.222798	0.924787	0.441410	0.862400
33	0.215016	0.926993	0.469669	0.857100
34	0.207896	0.928096	0.486389	0.853800
35	0.194633	0.934833	0.486952	0.858100
36	0.189920	0.936277	0.463385	0.862900
37	0.181225	0.939485	0.454513	0.863600
38	0.176184	0.940808	0.461511	0.861100
39	0.166235	0.943876	0.456897	0.865200
40	0.159718	0.946262	0.480964	0.861700
41	0.152609	0.948809	0.509789	0.857500
42	0.146401	0.950353	0.475950	0.867500
43	0.145860	0.951315	0.469827	0.865900
44	0.135290	0.954243	0.495298	0.862100
45	0.135454	0.954604	0.525263	0.856300
46	0.125823	0.957852	0.501221	0.863400
47	0.119970	0.959617	0.503971	0.864000
48	0.117522	0.960579	0.545195	0.858300
49	0.108213	0.964990	0.512374	0.861400
50	0.108157	0.963807	0.492372	0.865900
51	0.103075	0.965812	0.546663	0.859900
52	0.097936	0.966594	0.532909	0.863400
53	0.090575	0.969431	0.542203	0.865500
54	0.095230	0.967847	0.529824	0.866800
55	0.088351	0.970725	0.551132	0.864000
56	0.081661	0.973452	0.586486	0.858100
57	0.083182	0.970986	0.549024	0.866000
58	0.077807	0.974074	0.590280	0.858400
59	0.076115	0.973913	0.544577	0.868400
60	0.068837	0.977162	0.573130	0.865000
61	0.069344	0.976480	0.579141	0.864400
62	0.069254	0.977121	0.563449	0.866900
63	0.061511	0.979066	0.580069	0.868800
64	0.060963	0.979467	0.644992	0.859700
65	0.059571	0.980169	0.580000	0.863800
66	0.059717	0.979708	0.584787	0.864100
67	0.055405	0.981813	0.589363	0.866000
68	0.055773	0.981410	0.597170	0.862700
69	0.052502	0.982418	0.587874	0.864800
70	0.052734	0.982535	0.580667	0.867800
71	0.049119	0.984079	0.636877	0.861200
72	0.050275	0.982976	0.605840	0.862900
73	0.047461	0.984280	0.605098	0.867100
74	0.044849	0.985924	0.615160	0.866500
75	0.044553	0.984996	0.587475	0.868600
76	0.042197	0.985569	0.633714	0.864900
77	0.043395	0.985663	0.634226	0.865400
78	0.041021	0.986485	0.666731	0.865600
79	0.041467	0.986245	0.635830	0.865800
80	0.040360	0.986766	0.639014	0.861400
81	0.036249	0.988421	0.630012	0.870600
82	0.038159	0.987054	0.665235	0.862400
83	0.034670	0.988811	0.623809	0.870000
84	0.035074	0.988170	0.627848	0.870100
85	0.037280	0.987668	0.616066	0.871500
86	0.031931	0.989313	0.663330	0.869600
87	0.034723	0.988321	0.648746	0.868100
88	0.035702	0.988560	0.695076	0.861300
89	0.030849	0.989854	0.632653	0.867400
90	0.033905	0.988631	0.652655	0.871800
91	0.030596	0.989974	0.658026	0.868000
92	0.028170	0.990917	0.651062	0.869400
93	0.031034	0.990415	0.637400	0.870000
94	0.027658	0.991398	0.662360	0.869000
95	0.030352	0.990014	0.658145	0.869800
96	0.030160	0.989633	0.634987	0.872500
97	0.023887	0.992087	0.686498	0.869700
98	0.025454	0.991410	0.727665	0.862600
99	0.026933	0.991037	0.663781	0.869300
